title, studio, total_gross, total_gross_theaters, opening, opening_theaters, open
Aarakshan (Reservation), Relbig., $651096, 91, $344661, 91, 8/12/2011
Aashayein (Wishes), Relbig., n/a, 14, n/a, 14, 8/27/2010
Aatsinki: The Story of Arctic Cowboys, Argo., $6601, 2, $2842, 1, 1/24/2014
Abacus: Small Enough to Jail, PBS, $113278, 8, $12528, 1, 5/19/2017
Abandon, Par., $10727683, 2347, $5064077, 2341, 10/18/2002
The Abandoned, ADF, $1331137, 1000, $782000, 1000, 2/23/2007
ABC Africa, NYer, $9075, 1, $559, 1, 5/3/2002
The ABC's of Death, Magn., $21832, 19, $10110, 19, 3/8/2013
ABCD, Eros, $83372, 38, $83372, 38, 11/30/2001
ABCD (Any Body Can Dance), UTV, $222098, 25, $95236, 25, 2/8/2013
ABCD (Any Body Can Dance) 2, UTV, $892133, 146, $444195, 146, 6/19/2015
ABCs of Death 2, Magn., $7171, 17, $4022, 17, 10/31/2014
Abduction, LGF, $28087155, 3118, $10925253, 3118, 9/23/2011
Abduction: The Megumi Yokota Story, Sage., $26859, 1, $5034, 1, 11/24/2006
Abel, LGF, n/a, n/a, n/a, n/a, TBD
Aberdeen, FRun, $65090, 2, $5065, 1, 8/17/2001
Abominable, Free, $1810, 1, $1810, 1, 4/14/2006
Abouna, Leis., $3290, 1, $2350, 1, 2/20/2004
About a Boy, Uni., $41385278, 1756, $8557630, 1207, 5/17/2002
About Adam, Mira., $159668, 11, $33300, 5, 5/11/2001
About Alex, Scre., n/a, n/a, n/a, n/a, 8/8/2014
About Cherry, IFC, $3003, 3, $2760, 3, 9/21/2012
About Elly, CGld, $470760, 16, $13180, 1, 4/8/2015
About Fifty, Scre., n/a, n/a, n/a, n/a, 11/11/2011
About Last Night (2014), SGem, $48637684, 2253, $25649011, 2253, 2/14/2014
About Last Night..., TriS, $38702310, 887, $3152469, 642, 7/4/1986
About Schmidt, NL, $65016287, 1240, $282367, 6, 12/13/2002
About Time, Uni., $15322921, 1280, $1076250, 175, 11/1/2013
Above and Below, Osci., n/a, n/a, n/a, n/a, 4/15/2016
Above and Beyond, ICir, $288751, 13, $6448, 1, 1/30/2015
Above the Law, WB, $18869631, 868, $2037938, 350, 4/8/1988
